Variable,Frequency_Index,Period_Days,Power_Spectral_Density,Log10_Period_Days,Log10_Power
CAPE,130,119.8931298,350986973.7,2.078794297,8.545290999
CAPE,131,118.9848485,271841444.7,2.075491662,8.43431567
CAPE,132,118.0902256,396490361.7,2.072213952,8.598232634
CAPE,133,117.2089552,453606397,2.068960795,8.656679171
CAPE,134,116.3407407,280024354.9,2.065731825,8.447195805
CAPE,135,115.4852941,123644.9688,2.062526685,5.092176449
CAPE,136,114.6423358,354792612,2.059345026,8.549974568
CAPE,137,113.8115942,492294750,2.056186507,8.692225204
CAPE,138,112.9928058,1028251988,2.053050793,9.012099558
CAPE,139,112.1857143,306614513.4,2.049937557,8.486592708
CAPE,140,111.3900709,72205331.04,2.04684648,7.858569263
CAPE,141,110.6056338,213453656.1,2.043777249,8.329303598
CAPE,142,109.8321678,59130032.45,2.040729556,7.771808117
CAPE,143,109.0694444,194238418.1,2.037703101,8.288335132
CAPE,144,108.3172414,256126488.7,2.034697591,8.408454496
CAPE,145,107.5753425,344674975.3,2.031712737,8.537409753
CAPE,146,106.8435374,405296986,2.028748258,8.607773374
CAPE,147,106.1216216,259327210.8,2.025803878,8.413848089
CAPE,148,105.409396,396822911.7,2.022879325,8.598596739
CAPE,149,104.7066667,624262278.3,2.019974334,8.795367093
CAPE,150,104.013245,892362771.2,2.017088646,8.950541444
CAPE,151,103.3289474,526478237.2,2.014222005,8.721380424
CAPE,152,102.6535948,176641547.6,2.011374162,8.247092861
CAPE,153,101.987013,331509559.3,2.008544872,8.520496056
CAPE,154,101.3290323,170890015.9,2.005733895,8.23271669
CAPE,155,100.6794872,29896731.86,2.002940995,7.475623716
CAPE,156,100.0382166,317559770.1,2.000165941,8.501825479
CAPE,157,99.40506329,483685282.6,1.997408506,8.684562873
CAPE,158,98.77987421,188755302.9,1.994668469,8.275899162
CAPE,159,98.1625,72959629.95,1.99194561,7.863082623
CAPE,160,97.55279503,211466380.2,1.989239717,8.325241331
CAPE,161,96.95061728,218157794.4,1.986550579,8.338770734
CAPE,162,96.35582822,128449476.3,1.983877989,8.108732338
CAPE,163,95.76829268,58477594.89,1.981221745,7.766989502
CAPE,164,95.18787879,50682668.5,1.978581649,7.704859473
CAPE,165,94.61445783,222191601.2,1.975957505,8.346727639
CAPE,166,94.04790419,151900582,1.973349122,8.181559438
CAPE,167,93.48809524,113817904.9,1.970756311,8.056210587
CAPE,168,92.93491124,382250504,1.968178889,8.582348067
CAPE,169,92.38823529,264229501.6,1.965616672,8.421981306
CAPE,170,91.84795322,1263293637,1.963069483,9.101504309
CAPE,171,91.31395349,3722805971,1.960537146,9.570870402
CAPE,172,90.78612717,1480237604,1.95801949,9.170331433
CAPE,173,90.26436782,434064378.8,1.955516345,8.637554147
CAPE,174,89.74857143,467423133.7,1.953027544,8.669710203
CAPE,175,89.23863636,46524753.21,1.950552925,7.667684078
CAPE,176,88.73446328,146302454.7,1.948092327,8.165251613
CAPE,177,88.23595506,119502757.9,1.945645591,8.077377928
CAPE,178,87.74301676,53867249.51,1.943212562,7.731324801
CAPE,179,87.25555556,97243489.1,1.940793088,7.987860533
CAPE,180,86.77348066,222196442.8,1.938387018,8.346737102
CAPE,181,86.2967033,132555361.7,1.935994205,8.122397299
CAPE,182,85.82513661,81933884.78,1.933614503,7.913463547
CAPE,183,85.35869565,81412578.48,1.93124777,7.91069151
CAPE,184,84.8972973,218215629.4,1.928893865,8.338885853
CAPE,185,84.44086022,90765243.52,1.926552649,7.957919577
CAPE,186,83.98930481,943988.8722,1.924223987,5.974966875
CAPE,187,83.54255319,113390811.1,1.921907744,8.054577862
CAPE,188,83.1005291,100970834.9,1.919603789,8.004195947
CAPE,189,82.66315789,291303644.5,1.917311992,8.464345918
CAPE,190,82.23036649,390168855.1,1.915032226,8.591252599
